Citation,Study_Species,Species_analyze,Tree_taxon,Family,SiteLatitude,SiteLongitude,elevation.m,Sex,Mass,SVL,EstimationMethod,Home_range,MEAN_NPP,Total_Precip,MnAnnTemp,SD_Temp,IUCN habitats,IUCN aquatic,Aquatic index
Gardiner et al. 2013,Pituophis catenifer sayi,Pituophis catenifer,Pituophis_catenifer,Colubridae,49.168381,-107.632244,786,Male,1140,129,100MCP,58.1,2698.73,319.57,39.89,115.09,17,6,0.35
Gardiner et al. 2013,Pituophis catenifer sayi,Pituophis catenifer,Pituophis_catenifer,Colubridae,49.168381,-107.632244,786,Female,914,126,100MCP,115.5,2698.73,319.57,39.89,115.09,17,6,0.35
Kapfer et al. 2008,Pituophis catenifer sayi,Pituophis catenifer,Pituophis_catenifer,Colubridae,43.412078,-89.809265,420,Male,1140,129,95KD,82.91,4718.41,814.58,70.85,112.11,17,6,0.35
Kapfer et al. 2008,Pituophis catenifer sayi,Pituophis catenifer,Pituophis_catenifer,Colubridae,43.412078,-89.809265,420,Female,914,126,95KD,52.68,4718.41,814.58,70.85,112.11,17,6,0.35
Martino et al. 2012,Pituophis catenifer sayi,Pituophis catenifer,Pituophis_catenifer,Colubridae,49.168381,-107.632244,786,Male,1140,129,100MCP,58,2698.73,319.57,39.89,115.09,17,6,0.35
Martino et al. 2012,Pituophis catenifer sayi,Pituophis catenifer,Pituophis_catenifer,Colubridae,49.168381,-107.632244,786,Female,914,126,100MCP,116,2698.73,319.57,39.89,115.09,17,6,0.35
Rodriguez-Robles 2003,Pituophis catenifer,Pituophis catenifer,Pituophis_catenifer,Colubridae,37.995644,-122.358631,21,Male,338,98.25,95MCP,1.74,8191.5,663.57,145.13,33.85,17,6,0.35
Baxley and Qualls 2009,Pituophis melanoleucus lodingi,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,31.066949,-88.983341,52,Male,1004.6,138.4,90KD,166.7,8469.46,1599.6,184.5,67.73,1,0,0
Baxley and Qualls 2009,Pituophis melanoleucus lodingi,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,31.066949,-88.983341,52,Female,836,141.7,90KD,129.4,8469.46,1599.6,184.5,67.73,1,0,0
Gerald et al. 2006,Pituophis melanoleucus melanoleucus,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,35.374135,-86.066546,327,Male,1004.6,137.38,100MCP,85.3,7568.43,1462.67,142.03,80.97,1,0,0
Gerald et al. 2006,Pituophis melanoleucus melanoleucus,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,35.374135,-86.066546,327,Female,836,136.83,100MCP,67.84,7568.43,1462.67,142.03,80.97,1,0,0
Miller et al. 2012,Pituophis melanoleucus mugitus,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,31.250659,-84.37259,50,Male,1004.6,134.45,95KD,27.1,6969.61,1321.95,192.67,65.74,1,0,0
Miller et al. 2012,Pituophis melanoleucus mugitus,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,31.250659,-84.37259,50,Female,836,123.93,95KD,28.9,6969.61,1321.95,192.67,65.74,1,0,0
Zappalorti et al. 2015,Pituophis melanoleucus melanoleucus,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,39.233617,-75.124505,5,Male,1004.6,134.45,100MCP,91,6687.81,1075.87,125.11,87.03,1,0,0
Zappalorti et al. 2015,Pituophis melanoleucus melanoleucus,Pituophis melanoleucus,Pituophis_melanoleucus,Colubridae,39.233617,-75.124505,5,Female,836,123.93,100MCP,65,6687.81,1075.87,125.11,87.03,1,0,0
Whitaker and Shine 2003,Pseudonaja textilis,Pseudonaja textilis,Pseudonaja_textilis,Elapidae,-34.651519,146.47705,144,Male,692,125,100MCP,11.79,4095.61,464.4,166.29,59.21,17,2,0.12
Whitaker and Shine 2003,Pseudonaja textilis,Pseudonaja textilis,Pseudonaja_textilis,Elapidae,-34.651519,146.47705,144,Female,512,117,100MCP,1.46,4095.61,464.4,166.29,59.21,17,2,0.12
Walters et al. 2016,Python bivitattus,Python bivitattus,Python_bivittatus,Pythonidae,25.450402,-80.771068,2,Male,14006,265.8,100MCP,1791,5094.470443,1364.457213,236.1577017,34.38721928,9,4,0.444444444
Walters et al. 2016,Python bivitattus,Python bivitattus,Python_bivittatus,Pythonidae,25.450402,-80.771068,2,Female,25673,332.8,100MCP,2458,5094.470443,1364.457213,236.1577017,34.38721928,9,4,0.444444444
Kojima and Mori 2014,Rhabdophis tigrinus,Rhabdophis tigrinus,Rhabdophis_tigrinus,Colubridae,35.310689,135.730042,539,Male,84,61.217,100MCP,5.067,7930.38,1950.54,117.15,87.01,8,0,0
Kojima and Mori 2014,Rhabdophis tigrinus,Rhabdophis tigrinus,Rhabdophis_tigrinus,Colubridae,35.310689,135.730042,539,Female,200,75.9,100MCP,6.35,7930.38,1950.54,117.15,87.01,8,0,0
DeGregorio et al. 2011,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,44.642473,-84.723952,333,Male,213.9,54.15,100MCP,29.8,6241.82,784.14,57.88,103.32,10,3,0.3
DeGregorio et al. 2011,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,44.642473,-84.723952,333,Female,150.63,47.79,100MCP,14.4,6241.82,784.14,57.88,103.32,10,3,0.3
Johnson 2000,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,43.145227,-76.037752,120,Male,217.7,52.575,100MCP,27.8,6298.68,1042.23,82.46,98.33,10,3,0.3
Johnson 2000,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,43.145227,-76.037752,120,Female,188.46,51.31,100MCP,41.4,6298.68,1042.23,82.46,98.33,10,3,0.3
Marshall et al. 2006,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,41.675821,-85.28099,280,Male,217.7,52.575,100MCP,7.32,5635.71,917.2,87.82,100.49,10,3,0.3
Marshall et al. 2006,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,41.675821,-85.28099,280,Female,188.46,51.31,100MCP,3.36,5635.71,917.2,87.82,100.49,10,3,0.3
Moore and Gillingham 2006,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,41.931282,-83.96866,216,Male,217.7,54.3,100MCP,1.64,5417.26,846.98,89.85,98.87,10,3,0.3
Moore and Gillingham 2006,Sistrurus c catenatus,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,41.931282,-83.96866,216,Female,188.46,53.7,100MCP,1.21,5417.26,846.98,89.85,98.87,10,3,0.3
Wastell and Mackessy 2011,Sistrurus catenatus edwardsii,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,37.233498,-102.914053,1490,Male,64.1,41.15,95KD,149.92,2145.83,401.15,114.68,88.04,10,3,0.3
Wastell and Mackessy 2011,Sistrurus catenatus edwardsii,Sistrurus catenatus,Sistrurus_catenatus,Viperidae,37.233498,-102.914053,1490,Female,49,38.13,95KD,39.17,2145.83,401.15,114.68,88.04,10,3,0.3
Valcarcel 2011,Thamnophis gigas,Thamnophis gigas,Thamnophis_gigas,Colubridae,38.99223,-121.701101,11,Male,NA,NA,95KD,,4494.99,480.57,164.8,63.33,10,10,1
Valcarcel 2011,Thamnophis gigas,Thamnophis gigas,Thamnophis_gigas,Colubridae,38.99223,-121.701101,11,Female,268,78.2,95KD,39.53,4494.99,480.57,164.8,63.33,10,10,1
Wylie and Amarello 2008,Thamnophis gigas,Thamnophis gigas,Thamnophis_gigas,Colubridae,38.814235,-121.788979,10,Male,192,75,100MCP,12.75,4450.42,470.02,162.88,65.76,10,10,1
Wylie and Amarello 2008,Thamnophis gigas,Thamnophis gigas,Thamnophis_gigas,Colubridae,38.814235,-121.788979,10,Female,354,88.4,100MCP,39.96,4450.42,470.02,162.88,65.76,10,10,1
Brito 2003,Vipera latastei,Vipera latastei,Vipera_latastei,Viperidae,41.833206,-8.124453,750,Male,97.4,48.6,100MCP,0.24,8868.79,1448.05,110.37,49.4,6,0,0
Lelievre et al. 2012,Zamenis longissimus,Zamenis longissimus,Zamenis_longissimus,Colubridae,46.120653,0.425092,175,Male,278.3,100.2,100MCP,7.53,7764.85,848.33,114.73,56.36,10,0,0
Lelievre et al. 2012,Zamenis longissimus,Zamenis longissimus,Zamenis_longissimus,Colubridae,46.120653,0.425092,175,Female,202.9,88.4,100MCP,6.88,7764.85,848.33,114.73,56.36,10,0,0
